survived,pclass,age,sibsp,parch,fare,adult_male,alone,sex_male,embarked_Q,embarked_S,class_Second,class_Third,who_man,who_woman,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,embark_town_Queenstown,embark_town_Southampton,alive_yes
0.0,1.0,0.2711736617240513,0.125,0.0,0.014151057562208049,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
1.0,0.0,0.4722292033174164,0.125,0.0,0.13913573538264068,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1.0,1.0,0.32143754712239253,0.0,0.0,0.015468569817999833,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
1.0,0.0,0.43453128926866047,0.125,0.0,0.10364429745562033,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True
0.0,1.0,0.43453128926866047,0.0,0.0,0.015712553569072387,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0.0,1.0,,0.0,0.0,0.01650950209357577,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
0.0,0.0,0.6732847449107816,0.0,0.0,0.10122885832000206,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
0.0,1.0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1.0,1.0,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
1.0,0.5,0.17064589092736868,0.125,0.0,0.058694292654020104,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1.0,1.0,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True
1.0,0.0,0.7235486303091229,0.0,0.0,0.051822148727810165,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True
0.0,1.0,0.24604171902488062,0.0,0.0,0.015712553569072387,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0.0,1.0,0.4847951746670017,0.125,0.8333333333333334,0.06104473451835265,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0.0,1.0,0.17064589092736868,0.0,0.0,0.015330377421392339,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1.0,0.5,0.6858507162603669,0.0,0.0,0.03122992013728673,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True
0.0,1.0,0.01985423473234481,0.5,0.16666666666666666,0.056848213999904744,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.0,0.5,,0.0,0.0,0.025374310111545468,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True
0.0,1.0,0.38426740387031916,0.125,0.0,0.03513366015444757,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1.0,1.0,,0.0,0.0,0.014102260811993537,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0.0,0.5,0.43453128926866047,0.0,0.0,0.050748620223090936,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False
1.0,0.5,0.42196531791907516,0.0,0.0,0.025374310111545468,True,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True
1.0,1.0,0.18321186227695402,0.0,0.0,0.015671954672893913,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
1.0,0.0,0.3465694898215632,0.0,0.0,0.06929138530460492,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
0.0,1.0,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1.0,1.0,0.4722292033174164,0.125,0.8333333333333334,0.061264319894317944,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
0.0,1.0,,0.0,0.0,0.014102260811993537,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.23347574767529528,0.375,0.3333333333333333,0.5133418122566505,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
1.0,1.0,,0.0,0.0,0.01537917417160685,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True
0.0,1.0,,0.0,0.0,0.015411575213749284,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0,0.4973611460165871,0.0,0.0,0.05410739813385612,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1.0,0.0,,0.125,0.0,0.2859895551532101,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1.0,1.0,,0.0,0.0,0.015126992566498259,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True
0.0,0.5,0.8240764011058055,0.0,0.0,0.020494635090094415,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0,0.3465694898215632,0.125,0.0,0.16038672010106,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.5224930887157577,0.125,0.0,0.10149724044618187,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
1.0,1.0,,0.0,0.0,0.014110458666029575,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
0.0,1.0,0.2586076903744659,0.0,0.0,0.015712553569072387,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0.0,1.0,0.22090977632570996,0.25,0.0,0.03513366015444757,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1.0,1.0,0.17064589092736868,0.125,0.0,0.021942337075458514,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
